time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-06-01 10:30:00-04:00,MLTrader,d7273686ea9a4442aa8b15ed5284b4ab,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-06-01 10:30:00-04:00,MLTrader,d7273686ea9a4442aa8b15ed5284b4ab,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.57000732421875,70.0,0.0
2021-06-03 10:30:00-04:00,MLTrader,bda258ecaf2a4cda9fb0636f6e604d3b,SPY,buy_to_close,limit,canceled,1,day,0.0,1,stock,,,
2021-06-03 10:30:00-04:00,MLTrader,41fbff0c5b5046d28db9243f4c59db5c,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2021-06-03 10:30:00-04:00,MLTrader,d7273686ea9a4442aa8b15ed5284b4ab,SPY,sell,market,canceled,1,gtc,0.0,1,stock,,,0.0
2021-06-03 10:30:00-04:00,MLTrader,bda258ecaf2a4cda9fb0636f6e604d3b,SPY,buy_to_close,limit,canceled,1,day,0.0,1,stock,,,
2021-06-03 10:30:00-04:00,MLTrader,41fbff0c5b5046d28db9243f4c59db5c,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2021-06-03 10:30:00-04:00,MLTrader,f15f41457c8c423e81df7689a75c28c6,SPY,buy,market,new,1,day,0.0,1,stock,,,
2021-06-03 10:30:00-04:00,MLTrader,f15f41457c8c423e81df7689a75c28c6,SPY,buy,market,fill,1,day,0.0,1,stock,417.8500061035156,70.0,0.0
2021-12-02 09:30:00-05:00,MLTrader,585303acee8440fe9b9488c3f574030d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-12-02 09:30:00-05:00,MLTrader,585303acee8440fe9b9488c3f574030d,SPY,buy,market,fill,1,gtc,0.0,1,stock,450.7300109863281,47.0,0.0
2022-01-03 09:30:00-05:00,MLTrader,13e01ee99cbf4a8886bb921d70638b3b,SPY,sell_to_close,limit,canceled,1,day,0.0,1,stock,,,
2022-01-03 09:30:00-05:00,MLTrader,45d84a7000de44c18fb4dedfa2f50798,SPY,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2022-01-03 09:30:00-05:00,MLTrader,585303acee8440fe9b9488c3f574030d,SPY,buy,market,canceled,1,gtc,0.0,1,stock,,,0.0
2022-01-03 09:30:00-05:00,MLTrader,13e01ee99cbf4a8886bb921d70638b3b,SPY,sell_to_close,limit,canceled,1,day,0.0,1,stock,,,
2022-01-03 09:30:00-05:00,MLTrader,45d84a7000de44c18fb4dedfa2f50798,SPY,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2022-01-03 09:30:00-05:00,MLTrader,15eaf4772b13474ba6ec448a37293157,SPY,sell,market,new,1,day,0.0,1,stock,,,
2022-01-03 09:30:00-05:00,MLTrader,15eaf4772b13474ba6ec448a37293157,SPY,sell,market,fill,1,day,0.0,1,stock,476.29998779296875,47.0,0.0
2022-01-28 09:30:00-05:00,MLTrader,3e1adac721fb4bb1bca83abbdee434aa,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-28 09:30:00-05:00,MLTrader,3e1adac721fb4bb1bca83abbdee434aa,SPY,buy,market,fill,1,gtc,0.0,1,stock,432.67999267578125,64.0,0.0
2022-02-24 09:30:00-05:00,MLTrader,a2d497c6ef84462b8f0cebd25b916f54,SPY,sell_to_close,limit,canceled,1,day,0.0,1,stock,,,
2022-02-24 09:30:00-05:00,MLTrader,da33b6a930a1471d98149409e67071f9,SPY,sell_to_close,stop,fill,1,day,0.0,1,stock,411.0199890136719,64.0,0.0
2022-10-19 10:30:00-04:00,MLTrader,489106a63a4947c4945cdd585d6fbedb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-10-19 10:30:00-04:00,MLTrader,489106a63a4947c4945cdd585d6fbedb,SPY,buy,market,fill,1,gtc,0.0,1,stock,368.989990234375,75.0,0.0
2022-11-04 10:30:00-04:00,MLTrader,65bb892e96674d07bdc142a34b752fdf,SPY,sell_to_close,limit,canceled,1,day,0.0,1,stock,,,
2022-11-04 10:30:00-04:00,MLTrader,b32ca789ae814f968d3ae48334d1c078,SPY,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2022-11-04 10:30:00-04:00,MLTrader,489106a63a4947c4945cdd585d6fbedb,SPY,buy,market,canceled,1,gtc,0.0,1,stock,,,0.0
2022-11-04 10:30:00-04:00,MLTrader,65bb892e96674d07bdc142a34b752fdf,SPY,sell_to_close,limit,canceled,1,day,0.0,1,stock,,,
2022-11-04 10:30:00-04:00,MLTrader,b32ca789ae814f968d3ae48334d1c078,SPY,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2022-11-04 10:30:00-04:00,MLTrader,249bca29825144fe8a36c14bed3226d0,SPY,sell,market,new,1,day,0.0,1,stock,,,
2022-11-04 10:30:00-04:00,MLTrader,249bca29825144fe8a36c14bed3226d0,SPY,sell,market,fill,1,day,0.0,1,stock,377.0,75.0,0.0
