datetime,symbol,action,quantity,price,cash_before,cash_after,realized_pnl,reason
2021-01-06 09:30:00,GOOGL,buy,352.0,85.01,100000.0,70075.42,,
2021-01-11 09:30:00,GOOGL,close,352.0,88.85,100000.0,100000.0,-1352.03,
2021-02-09 09:30:00,MSFT,buy,162.0,241.87,131275.55,92092.61,,
2021-02-09 09:30:00,GOOGL,buy,379.0,103.74,131275.55,91958.09,,
2021-02-23 09:30:00,MSFT,auto_close,162.0,241.87,131275.55,131275.55,,
2021-02-24 09:30:00,GOOGL,auto_close,379.0,103.74,131275.55,131275.55,,
2021-02-26 09:30:00,NVDA,buy,2863.0,13.75,131275.55,91902.14,,
2021-03-04 09:30:00,NVDA,auto_close,2863.0,13.75,131275.55,131275.55,,
2021-03-22 10:30:00,MSFT,buy,171.0,230.27,131275.55,91899.38,,
2021-04-09 10:30:00,MSFT,auto_close,171.0,230.27,131275.55,131275.55,,
2021-04-30 10:30:00,AAPL,buy,298.0,131.78,131275.55,92005.11,,
2021-04-30 10:30:00,GOOGL,buy,332.0,118.4,131275.55,91966.42,,
2021-05-05 10:30:00,AAPL,auto_close,298.0,131.78,131275.55,131275.55,,
2021-05-05 10:30:00,GOOGL,auto_close,332.0,118.4,131275.55,131275.55,,
2021-06-01 10:30:00,SPY,sell,46.5,422.57,131275.55,111626.05,,
2021-06-03 10:30:00,SPY,close,-46.5,417.85,131275.55,131275.55,219.48,
2021-07-29 10:30:00,AAPL,buy,231.0,144.69,111845.53,78422.14,,
2021-09-01 10:30:00,NVDA,buy,1492.0,22.49,111845.53,78297.91,,
2021-09-21 10:30:00,NVDA,auto_close,1492.0,22.49,111845.53,111845.53,,
2021-10-04 10:30:00,AAPL,auto_close,231.0,144.69,111845.53,111845.53,,
2021-10-13 10:30:00,AAPL,buy,237.0,141.24,111845.53,78371.64,,
2021-10-18 10:30:00,GOOGL,buy,237.0,141.08,111845.53,78410.39,,
2021-10-25 10:30:00,GOOGL,auto_close,237.0,141.08,111845.53,111845.53,,
2021-11-19 09:30:00,AAPL,auto_close,237.0,141.24,111845.53,111845.53,,
2021-11-23 09:30:00,MSFT,buy,99.0,337.05,111845.53,78477.58,,
2021-11-26 09:30:00,GOOGL,buy,232.0,144.35,111845.53,78356.68,,
2021-12-02 09:30:00,SPY,buy,74.0,450.73,111845.53,78491.51,,
2021-12-06 09:30:00,MSFT,auto_close,99.0,337.05,111845.53,111845.53,,
2021-12-06 09:30:00,NVDA,buy,1122.0,29.88,111845.53,78320.17,,
2021-12-06 09:30:00,AMZN,buy,197.0,169.65,111845.53,78424.48,,
2021-12-14 09:30:00,NVDA,auto_close,1122.0,29.88,111845.53,111845.53,,
2021-12-21 09:30:00,GOOGL,auto_close,232.0,144.35,111845.53,111845.53,,
2022-01-03 09:30:00,SPY,close,74.0,476.3,111845.53,111845.53,-1892.18,
2022-01-04 09:30:00,AMZN,auto_close,197.0,169.65,111845.53,180099.08,,
2022-01-05 09:30:00,META,buy,162.0,333.02,180099.08,126149.84,,
2022-01-07 09:30:00,META,auto_close,162.0,333.02,180099.08,180099.08,,
2022-01-10 09:30:00,MSFT,buy,174.0,309.49,180099.08,126247.82,,
2022-01-18 09:30:00,AMZN,buy,339.0,159.1,180099.08,126162.48,,
2022-01-21 09:30:00,AMZN,auto_close,339.0,159.1,180099.08,180099.08,,
2022-01-24 09:30:00,MSFT,auto_close,174.0,309.49,180099.08,180099.08,,
2022-01-24 09:30:00,AMZN,buy,388.0,139.0,180099.08,126167.08,,
2022-01-28 09:30:00,SPY,buy,124.0,432.68,180099.08,126446.76,,
2022-02-03 09:30:00,AMZN,auto_close,388.0,139.0,180099.08,180099.08,,
2022-02-07 09:30:00,META,buy,227.0,237.7,180099.08,126141.18,,
2022-02-09 09:30:00,META,auto_close,227.0,237.7,180099.08,180099.08,,
2022-02-25 09:30:00,SPY,auto_close,124.0,432.68,180099.08,180099.08,,
2022-10-11 10:30:00,GOOGL,buy,554.0,97.43,180099.08,126122.86,,
2022-10-14 10:30:00,GOOGL,auto_close,554.0,97.43,180099.08,180099.08,,
2022-10-19 10:30:00,SPY,buy,146.0,368.99,180099.08,126226.54,,
2022-11-04 10:30:00,SPY,close,146.0,377.0,180099.08,180099.08,-1169.46,
2022-12-19 09:30:00,GOOGL,buy,781.0,90.26,235141.08,164648.01,,
2022-12-21 09:30:00,GOOGL,auto_close,781.0,90.26,235141.08,235141.08,,
2023-02-21 09:30:00,NVDA,buy,3359.0,21.0,235141.08,164602.08,,
2023-02-24 09:30:00,NVDA,auto_close,3359.0,21.0,235141.08,235141.08,,
2023-02-24 09:30:00,NVDA,buy,3037.0,23.23,235141.08,164606.75,,
2023-03-02 09:30:00,NVDA,auto_close,3037.0,23.23,235141.08,235141.08,,
2023-03-13 10:30:00,GOOGL,buy,783.0,90.09,235141.08,164600.61,,
2023-03-15 10:30:00,GOOGL,close,783.0,93.22,235141.08,235141.08,-2450.79,
2023-04-13 10:30:00,SPY,buy,225.0,409.18,308132.34,216066.84,,
2023-04-14 10:30:00,SPY,close,225.0,412.81,308132.34,308132.34,-816.75,
2023-04-27 10:30:00,MSFT,buy,406.0,295.97,401014.59,280850.77,,
2023-05-01 10:30:00,AMZN,buy,1146.0,104.95,401014.59,280741.89,,
2023-05-03 10:30:00,AMZN,auto_close,1146.0,104.95,401014.59,401014.59,,
2023-05-26 10:30:00,MSFT,auto_close,406.0,295.97,401014.59,401014.59,,
2023-06-06 10:30:00,SPY,buy,281.0,426.67,401014.59,281120.31,,
2023-06-12 10:30:00,SPY,close,281.0,430.92,401014.59,401014.59,-1194.25,
2023-06-23 10:30:00,SPY,buy,361.0,432.93,522103.11,365815.38,,
2023-07-03 10:30:00,SPY,close,361.0,442.92,522103.11,522103.11,-3606.39,
2023-07-17 10:30:00,SPY,buy,455.0,449.13,681997.23,477643.08,,
2023-07-31 10:30:00,SPY,close,455.0,457.41,681997.23,681997.23,-3767.4,
2023-08-25 10:30:00,NVDA,buy,5680.0,47.01,890118.79,623090.62,,
2023-08-28 10:30:00,NVDA,auto_close,5680.0,47.01,890118.79,890118.79,,
2023-10-23 10:30:00,GOOGL,buy,1977.0,135.04,890118.79,623144.72,,
2023-10-26 10:30:00,GOOGL,auto_close,1977.0,135.04,890118.79,890118.79,,
2023-11-10 09:30:00,AMZN,buy,1901.0,140.46,890118.79,623104.31,,
2023-11-24 09:30:00,NVDA,buy,5509.0,48.47,890118.79,623097.55,,
2023-11-28 09:30:00,NVDA,close,5509.0,48.24,890118.79,890118.79,1289.11,
2023-11-29 09:30:00,AMZN,auto_close,1901.0,140.46,890118.79,1435259.88,,
2023-11-30 09:30:00,SPY,buy,945.0,455.48,1435259.88,1004831.27,,
2023-12-04 09:30:00,AMZN,buy,2964.0,145.25,1435259.88,1004738.88,,
2023-12-04 09:30:00,SPY,close,945.0,455.6,1435259.88,1435259.88,-113.41,
2023-12-05 09:30:00,AMZN,auto_close,2964.0,145.25,1435259.88,1865801.89,,
2023-12-21 09:30:00,SPY,buy,1187.0,471.33,1865801.89,1306333.19,,
2023-12-22 09:30:00,SPY,close,1187.0,473.86,1865801.89,1865801.89,-3003.09,
2024-01-02 09:30:00,SPY,buy,1542.0,472.16,2428273.69,1700202.97,,
2024-01-08 09:30:00,SPY,close,1542.0,468.43,2428273.69,2428273.69,5751.67,
2024-01-16 09:30:00,META,sell,1264.5,373.65,3150592.74,2678112.32,,
2024-02-01 09:30:00,SPY,buy,1950.0,484.63,3150592.74,2205564.23,,
2024-02-05 09:30:00,SPY,close,1950.0,493.7,3150592.74,3150592.74,-17686.52,
2024-02-06 09:30:00,META,auto_close,1264.5,373.65,3150592.74,2924981.23,,
2024-03-05 09:30:00,AMZN,buy,4959.0,176.93,2924981.23,2047585.4,,
2024-03-12 10:30:00,AMZN,auto_close,4959.0,176.93,2924981.23,2924981.23,,
2024-03-18 10:30:00,AMZN,buy,4991.0,175.8,2924981.23,2047563.42,,
2024-04-03 10:30:00,SPY,buy,1694.0,517.72,2924981.23,2047963.6,,
2024-04-08 10:30:00,SPY,close,1694.0,519.15,2924981.23,2924981.23,-2422.46,
2024-04-09 10:30:00,AMZN,auto_close,4991.0,175.8,2924981.23,4737239.24,,
2024-04-16 10:30:00,NVDA,buy,16442.0,86.43,4737239.24,3316107.88,,
2024-04-16 10:30:00,AMZN,buy,7754.0,183.27,4737239.24,3316163.63,,
2024-04-19 10:30:00,NVDA,auto_close,16442.0,86.43,4737239.24,4737239.24,,
2024-04-22 10:30:00,AMZN,auto_close,7754.0,183.27,4737239.24,4737239.24,,
